Neighborhood_ID,Neighborhood,Crime_Rate,Year
90,Ocean Hill,13692,2016
164,Oakland Gardens,2386,2016
116,Clinton,18854,2016
27,Soundview,14782,2016
108,Central Harlem,29244,2016
251,Noho,9893,2016
149,Woodhaven,5413,2016
94,Prospect Park South,8281,2016
64,Bedford Stuyvesant,21404,2016
121,East Village,8629,2016
57,East Flatbush,7833,2016
169,Rochdale,14518,2016
97,East Williamsburg,14193,2016
49,Sunset Park,17755,2016
117,Midtown,22840,2016
46,Edenwald,6770,2016
82,Dyker Heights,4362,2016
122,Lower East Side,10009,2016
134,Jackson Heights,12161,2016
14,Bedford Park,9231,2016
261,Elm Park,1985,2016
16,Morris Heights,5848,2016
55,Flatbush,8257,2016
44,Concourse,15349,2016
272,Mount Eden,6395,2016
18,East Tremont,12953,2016
72,Cypress Hills,4534,2016
145,Maspeth,3451,2016
202,Stapleton,2478,2016
20,High  Bridge,15547,2016
276,Turtle Bay,3819,2016
109,East Harlem,37894,2016
56,Crown Heights,11018,2016
173,Far Rockaway,11249,2016
189,Ravenswood,7641,2016
167,South Jamaica,11545,2016
141,Downtown Flushing,12035,2016
275,Hunters Point,2998,2016
292,Homecrest,4392,2016
106,Hamilton Heights,19563,2016
146,Ridgewood,12319,2016
42,Olinville,9726,2016
158,Glen Oaks,1515,2016
234,Dongan Hills,1468,2016
180,Arverne,2685,2016
6,Kingsbridge,6189,2016
68,Red Hook,2930,2016
152,College Point,2837,2016
69,Gowanus,4618,2016
107,Manhattanville,9378,2016
168,St. Albans,5523,2016
9,Norwood,9315,2016
113,Roosevelt Island,1762,2016
218,Annadale,537,2016
187,Queensboro Hill,3194,2016
80,Bath Beach,7348,2016
262,Remsen Village,7981,2016
104,Washington Heights,15144,2016
89,Prospect Lefferts Gardens,14631,2016
63,Bushwick,22161,2016
220,Tottenville,1535,2016
31,Parkchester,6861,2016
224,Ditmas Park,5520,2016
270,Claremont Village,13369,2016
263,New Lots,12738,2016
75,Canarsie,7521,2016
221,Tompkinsville,2730,2016
26,Morrisania,12574,2016
271,Concourse Village,16223,2016
225,Wingate,8849,2016
226,Rugby,9426,2016
76,Flatlands,7391,2016
74,Starrett City,3844,2016
22,Mott Haven,19506,2016
99,South Side,3502,2016
60,Prospect Heights,10632,2016
284,Weeksville,16954,2016
259,Randall Manor,801,2016
91,City Line,8769,2016
7,Marble Hill,5874,2016
227,Park Hill,1996,2016
171,Cambria Heights,3900,2016
285,Broadway Junction,7736,2016
190,Lindenwood,2631,2016
115,Lincoln Square,15003,2016
204,West Brighton,2656,2016
127,Manhattan Valley,13020,2016
279,Flatiron,17235,2016
103,Chinatown,7703,2016
105,Inwood,9719,2016
250,Carnegie Hill,7350,2016
5,Riverdale,871,2016
253,Midtown South,23255,2016
71,Park Slope,4556,2016
40,Edgewater Park,793,2016
132,Astoria,10324,2016
120,Greenwich Village,8218,2016
21,Melrose,15233,2016
39,Schuylerville,4616,2016
186,Jamaica Estates,2726,2016
192,Lefrak City,8704,2016
98,North Side,6255,2016
129,Gramercy,9208,2016
286,Dumbo,1214,2016
128,Morningside Heights,8306,2016
24,Longwood,10489,2016
62,Williamsburg,6944,2016
53,Sheepshead Bay,3813,2016
30,Country Club,1562,2016
96,Spring Creek,4745,2016
11,Baychester,2726,2016
298,Highland Park,4425,2016
1,Wakefield,6966,2016
54,Manhattan Terrace,2989,2016
47,Bay Ridge,7554,2016
61,Brownsville,20213,2016
198,North Corona,8293,2016
17,Fordham,20540,2016
8,Woodlawn,2954,2016
150,Ozone Park,10188,2016
73,East New York,11604,2016
35,Belmont,10174,2016
111,Yorkville,4492,2016
265,Mill Basin,3079,2016
87,Downtown,9176,2016
274,Sutton Place,11279,2016
139,Kew Gardens,2529,2016
51,Gravesend,6052,2016
157,Douglaston,975,2016
252,Civic Center,6199,2016
110,Upper East Side,3521,2016
48,Bensonhurst,7325,2016
10,Williamsbridge,8803,2016
88,Boerum Hill,7274,2016
237,New Dorp Beach,944,2016
43,Pelham Gardens,3173,2016
136,Howard Beach,1152,2016
12,Pelham Parkway,5644,2016
246,Heartland Village,3205,2016
191,Laurelton,2940,2016
166,Hollis,4984,2016
59,Windsor Terrace,3096,2016
79,Coney Island,7183,2016
84,Marine Park,2861,2016
126,West Village,13283,2016
114,Upper West Side,9732,2016
135,Elmhurst,9757,2016
172,Rosedale,2363,2016
66,Cobble Hill,1940,2016
124,Little Italy,3494,2016
50,Greenpoint,5955,2016
278,Stuyvesant Town,1561,2016
131,Financial District,8645,2016
140,Richmond Hill,9964,2016
