borough_id,region_name,name,transaction_volume,property_count,average_sale_price,year
4,LA GUARDIA AIRPORT,Queens,8,6,783375,2017
1,ALPHABET CITY,Manhattan,134,112,1647564.09,2017
5,ANNADALE,Staten Island,124,121,655127.4758,2017
5,ARDEN HEIGHTS,Staten Island,276,265,412544.6377,2017
5,ARROCHAR,Staten Island,31,31,604668.129,2017
5,SHORE ACRES,Staten Island,19,17,444210.5263,2017
4,ARVERNE,Queens,160,148,421406.5875,2017
4,ASTORIA,Queens,572,436,1427266.844,2017
3,BATH BEACH,Brooklyn,162,143,921299.0617,2017
2,BATHGATE, Bronx,58,51,822782.9483,2017
3,BAY RIDGE,Brooklyn,596,403,871507.1275,2017
2,BAYCHESTER, Bronx,328,298,533207.1555,2017
4,BAYSIDE,Queens,853,604,766759.68,2017
2,BEDFORD PARK, Bronx,166,130,759529.7831,2017
2,NORWOOD, Bronx,166,130,759529.7831,2017
3,BEDFORD STUYVESANT,Brooklyn,880,825,1261462.755,2017
4,BEECHHURST,Queens,162,84,526598.5679,2017
4,BELLE HARBOR,Queens,77,71,845704.1299,2017
4,BELLEROSE,Queens,158,149,599101.4114,2017
2,BELMONT, Bronx,61,58,1821731.246,2017
3,BENSONHURST,Brooklyn,306,290,1280692.18,2017
3,BERGEN BEACH,Brooklyn,124,121,634080.4113,2017
5,BLOOMFIELD,Staten Island,7,7,16334435.71,2017
3,BOERUM HILL,Brooklyn,188,180,2465316.005,2017
3,BOROUGH PARK,Brooklyn,610,596,1229059.051,2017
4,BREEZY POINT,Queens,84,3,471785.7143,2017
4,BRIARWOOD,Queens,181,86,391422.8619,2017
3,BRIGHTON BEACH,Brooklyn,262,200,629744.7672,2017
4,BROAD CHANNEL,Queens,33,33,306596.4242,2017
2,BRONXDALE, Bronx,265,209,510061.5358,2017
3,BROOKLYN HEIGHTS,Brooklyn,324,218,4010202.827,2017
3,BROWNSVILLE,Brooklyn,159,146,1015002.528,2017
5,BULLS HEAD,Staten Island,299,292,454230.0468,2017
3,BUSH TERMINAL,Brooklyn,25,24,2909428.4,2017
3,BUSHWICK,Brooklyn,416,395,1276394.707,2017
4,CAMBRIA HEIGHTS,Queens,142,124,414522,2017
3,CANARSIE,Brooklyn,535,489,617539.9738,2017
3,CARROLL GARDENS,Brooklyn,126,123,1961639.587,2017
2,CASTLE HILL, Bronx,129,117,924633.2791,2017
2,UNIONPORT, Bronx,129,117,924633.2791,2017
5,CASTLETON CORNERS,Staten Island,121,121,562211.4132,2017
1,CHELSEA,Manhattan,686,416,3619183.36,2017
1,CHINATOWN,Manhattan,75,75,2044971.427,2017
2,CITY ISLAND, Bronx,73,73,565465.8082,2017
1,CIVIC CENTER,Manhattan,247,222,7773034.04,2017
1,CLINTON,Manhattan,302,266,2175269.536,2017
3,CLINTON HILL,Brooklyn,324,225,1293542.009,2017
5,CLOVE LAKES,Staten Island,77,63,508090.5325,2017
2,CO-OP CITY, Bronx,4,4,1395000,2017
3,COBBLE HILL,Brooklyn,88,77,1545340.614,2017
3,COBBLE HILL-WEST,Brooklyn,50,49,1122629.52,2017
4,COLLEGE POINT,Queens,272,258,949640.9044,2017
5,CONCORD,Staten Island,88,84,377541.8636,2017
5,CONCORD-FOX HILLS,Staten Island,28,26,325050.25,2017
3,CONEY ISLAND,Brooklyn,186,93,653138.2258,2017
4,CORONA,Queens,407,328,729174.7887,2017
2,COUNTRY CLUB, Bronx,137,128,519637.3796,2017
2,CROTONA PARK, Bronx,44,41,713060.1364,2017
3,CROWN HEIGHTS,Brooklyn,496,463,1243241.214,2017
3,CYPRESS HILLS,Brooklyn,261,239,567693.2835,2017
5,DONGAN HILLS,Staten Island,79,75,581653.4684,2017
5,DONGAN HILLS-COLONY,Staten Island,48,45,754828.875,2017
5,DONGAN HILLS-OLD TOWN,Staten Island,5,5,326200,2017
4,DOUGLASTON,Queens,204,140,698156.3235,2017
3,DOWNTOWN-FULTON FERRY,Brooklyn,198,193,2156305.596,2017
3,DOWNTOWN-FULTON MALL,Brooklyn,207,187,2090641.111,2017
3,DOWNTOWN-METROTECH,Brooklyn,115,82,6387415.391,2017
3,DYKER HEIGHTS,Brooklyn,169,167,1069982.361,2017
4,EAST ELMHURST,Queens,171,163,1261981.766,2017
3,EAST NEW YORK,Brooklyn,687,638,647479.1674,2017
2,EAST RIVER, Bronx,1,1,11200000,2017
2,EAST TREMONT, Bronx,102,87,1248520.225,2017
1,EAST VILLAGE,Manhattan,134,94,3064281.851,2017
4,ELMHURST,Queens,461,360,869639.8525,2017
5,ELTINGVILLE,Staten Island,282,274,540472.6702,2017
5,EMERSON HILL,Staten Island,16,16,802562.5,2017
4,FAR ROCKAWAY,Queens,266,251,1142671.117,2017
1,FASHION,Manhattan,68,59,9045630.074,2017
2,FIELDSTON, Bronx,42,24,927645.5952,2017
1,FINANCIAL,Manhattan,450,428,6313312.24,2017
3,FLATBUSH,Brooklyn,392,302,1096904.074,2017
3,EAST FLATBUSH,Brooklyn,553,479,644239.3309,2017
3,FLATBUSH-LEFFERTS GARDEN,Brooklyn,110,87,1444580.364,2017
3,FLATBUSH-NORTH,Brooklyn,236,214,744007.2712,2017
1,FLATIRON,Manhattan,414,313,4721720.761,2017
3,FLATLANDS,Brooklyn,139,113,437864.518,2017
4,FLORAL PARK,Queens,141,127,581989.6525,2017
4,FLUSHING MEADOW PARK,Queens,14,6,385930,2017
4,FLUSHING-NORTH,Queens,2340,2013,1055495.968,2017
4,FLUSHING-SOUTH,Queens,646,428,567101.9892,2017
2,FORDHAM, Bronx,70,56,2150199.086,2017
4,FOREST HILLS,Queens,867,357,544034.3149,2017
3,FORT GREENE,Brooklyn,158,108,1740473.272,2017
5,FRESH KILLS,Staten Island,1,1,328536,2017
4,FRESH MEADOWS,Queens,101,81,734006.2376,2017
3,GERRITSEN BEACH,Brooklyn,93,89,424224.1075,2017
4,GLEN OAKS,Queens,294,59,416626.8503,2017
4,GLENDALE,Queens,270,219,684205.4481,2017
3,GOWANUS,Brooklyn,114,105,2629551.851,2017
1,GRAMERCY,Manhattan,382,156,1846304.518,2017
5,GRANT CITY,Staten Island,142,131,477421,2017
